idCiudad,Ciudad,Estado
1,Mckeesport,Pennsylvania
2,Hawthorne,California
3,Lorain,Ohio
4,Aurora,Colorado
5,Greensboro,North Carolina
6,Tulsa,Oklahoma
7,Albuquerque,New Mexico
8,New Orleans,Louisiana
9,Brentwood,California
10,Baltimore,Maryland
11,Chattanooga,Tennessee
12,Saint Louis,Missouri
13,Charenton,Louisiana
14,Washington,District of Columbia
15,Springfield,Ohio
16,Memphis,Tennessee
17,Yuba (county),California
18,Chicago,Illinois
19,Vallejo,California
20,Wilmington,Delaware
21,Midvale,Utah
22,Orange (county),California
23,Grand Rapids,Michigan
24,Lancaster,California
25,Macon,Georgia
26,Shreveport,Louisiana
27,Moultrie,Georgia
28,Saginaw (county),Michigan
29,Los Banos,California
30,Indianapolis,Indiana
31,Jackson,Mississippi
32,Kansas City,Missouri
33,Oceanside,California
34,Mohawk,New York
35,Modesto,California
36,Galt,California
37,Stockton,California
38,Belle Glade,Florida
39,Brooklyn,New York
40,Merced (county),California
41,Auburn,Washington
42,Greenwood,South Carolina
43,New York (Manhattan),New York
44,Long Beach,California
45,Philadelphia,Pennsylvania
46,Phoenix,Arizona
47,Lexington,Kentucky
48,Akron,Ohio
49,Federal Way,Washington
50,Chicago (Englewood),Illinois
51,Harvey,Louisiana
52,Manchester,Illinois
53,Oberlin,Ohio
54,Williston,Florida
55,Charlotte,North Carolina
56,Chester,Pennsylvania
57,Jackson,Tennessee
58,Newark,New Jersey
59,Smithfield,North Carolina
60,Palo Alto,California
61,Johnstown,Pennsylvania
62,Los Angeles,California
63,Columbus,Indiana
64,Jersey City,New Jersey
65,Apache Junction,Arizona
66,Cincinnati,Ohio
67,Delanco,New Jersey
68,Detroit,Michigan
69,Jamaica,New York
70,Victoria,Virginia
71,Bean Station,Tennessee
72,Bakersfield,California
73,Flint,Michigan
74,Hampton,Virginia
75,Atlanta,Georgia
76,Milwaukee,Wisconsin
77,Virginia Beach,Virginia
78,Lagrange,Georgia
79,Santa Monica,California
80,York,Pennsylvania
81,High Point,North Carolina
82,Providence,Rhode Island
83,Nashville,Tennessee
84,Houston,Texas
85,Norfolk,Virginia
86,Greenville,North Carolina
87,Sacramento,California
88,Three Rivers,California
89,North Charleston,South Carolina
90,Locust Valley,New York
91,Fort Worth,Texas
92,Pontiac,Michigan
93,Florence,Alabama
94,Meridian,Mississippi
95,Pompano Beach,Florida
96,Rockford,Illinois
97,San Francisco,California
98,Greensburg,Kentucky
99,Campbell,Ohio
100,Oklahoma City,Oklahoma
101,Trenton (Hamilton Township),New Jersey
102,Grand Rapids (Kentwood),Michigan
103,Wichita,Kansas
104,Oakland,California
105,Madera,California
106,Hartford,Connecticut
107,Topeka,Kansas
108,Inkster,Michigan
109,Clarksburg,West Virginia
110,Hialeah,Florida
111,Dallas,Texas
112,Granger,Washington
113,Hobbs,New Mexico
114,Salinas,California
115,Saylorsburg,Pennsylvania
116,Montclair,New Jersey
117,Portsmouth,Virginia
118,Port Norris,New Jersey
119,Toledo,Ohio
120,Chesterfield,South Carolina
121,Trenton,New Jersey
122,Latta,South Carolina
123,Minneapolis,Minnesota
124,Lake Butler,Florida
125,Gary,Indiana
126,Bridgeport,Connecticut
127,New York,New York
128,Crab Orchard,Tennessee
129,Marion,North Carolina
130,Colorado Springs,Colorado
131,Snellville,Georgia
132,Yakima,Washington
133,Washington Navy Yard,District of Columbia
134,Lansing,Michigan
135,Las Vegas,Nevada
136,Kissimmee,Florida
137,Rice,Texas
138,Palm Beach,Florida
139,Muskegon,Michigan
140,Huntington,West Virginia
141,Haw River,North Carolina
142,Zanesville,Ohio
143,Omaha,Nebraska
144,Fort Wayne,Indiana
145,Fresno,California
146,Buffalo,New York
147,Avondale,Arizona
148,Tabernacle,New Jersey
149,Paris,Texas
150,Wilkes Barre,Pennsylvania
151,Harrisburg,Pennsylvania
152,Margate,Florida
153,Miami,Florida
154,Pittsburgh (Homewood),Pennsylvania
155,New Haven,Connecticut
156,Miami Gardens,Florida
157,Beaumont,Texas
158,Roseville,California
159,Southern Pines,North Carolina
160,Bradley (Callison),South Carolina
161,Radcliff,Kentucky
162,Perris,California
163,Jacksonville,Florida
164,Cypress,Texas
165,Canton,Ohio
166,Rochester,New York
167,Valdosta,Georgia
168,Derry,Pennsylvania
169,Statesville,North Carolina
170,Channelview,Texas
171,Homestead (Florida City),Florida
172,Shelby,North Carolina
173,Medford,New York
174,Plainfield,New Jersey
175,Irvington,New Jersey
176,Lockport,Louisiana
177,Slidell,Louisiana
178,Montgomery,Alabama
179,Duarte,California
180,Lodi,New Jersey
181,Barberton,Ohio
182,Queens,New York
183,Springfield,Missouri
184,Columbus,Georgia
185,Syracuse,New York
186,Bibb County,Georgia
187,Prince William County,Virginia
188,Grand Junction,Colorado
189,Huntsville,Alabama
190,Camden,New Jersey
191,Hurricane,Utah
192,Marrero,Louisiana
193,Pinckneyville,Illinois
194,Bronx,New York
195,Canon City,Colorado
196,Lubbock,Texas
197,North Platte,Nebraska
198,Johns Island,South Carolina
199,Lynn,Massachusetts
200,Newport News,Virginia
201,Milton,Florida
202,Fort Myers,Florida
203,Tuscaloosa,Alabama
204,Bogue Chitto,Mississippi
205,Clementon,New Jersey
206,Olanta,South Carolina
207,Janesville,Wisconsin
208,Crenshaw,Alabama
209,Tolleson,Arizona
210,Lihue,Hawaii
211,Georgetown,Washington
212,Homestead,Florida
213,Orlando,Florida
214,Cynthiana,Kentucky
215,Clinton,Maryland
216,Princeton,West Virginia
217,Springfield,Massachusetts
218,Warner Robins,Georgia
219,Borger,Texas
220,Manchester,New Hampshire
221,Deltona,Florida
222,Duplin County,North Carolina
223,Rio Rico,Arizona
224,Tampa,Florida
225,Raleigh,North Carolina
226,Hazleton,Pennsylvania
227,Port Arthur,Texas
228,Merced,California
229,New Carrollton,Maryland
230,Boston,Kentucky
231,Glendale,California
232,Tulalip,Washington
233,Lawton,Oklahoma
234,Quincy,Illinois
235,Gloucester Township,New Jersey
236,Mount Laurel,New Jersey
237,Belleville,New Jersey
238,Seattle,Washington
239,Dover,New Jersey
240,Franklin,Mississippi
241,Poughkeepsie,New York
242,Tupelo,Mississippi
243,Falls Church,Virginia
244,Bucksport,South Carolina
245,Louisville,Kentucky
246,Winston-Salem,North Carolina
247,Okmulgee County,Oklahoma
248,Gadsden,Alabama
249,Fort Dodge,Iowa
250,Toms River,New Jersey
251,Tanana,Alaska
252,Little Rock,Arkansas
253,Douglas,Arizona
254,Denver,Colorado
255,Cromwell,Connecticut
256,Newton,Mississippi
257,Birmingham,Alabama
258,Columbus,Ohio
259,Saint Marys,Kansas
260,Staten Island,New York
261,Bridgeton,New Jersey
262,Hebbronville,Texas
263,Humboldt,Tennessee
264,Chesapeake,Virginia
265,Cleveland,Ohio
266,Riviera Beach,Florida
267,San Antonio,Texas
268,Russell County,Virginia
269,Corpus Christi,Texas
270,Harker Heights,Texas
271,Niagara Falls,New York
272,Morrisville,Pennsylvania
273,West Allis,Wisconsin
274,Walker,Louisiana
275,Chelsea,Oklahoma
276,Richmond,Virginia
277,Springfield,Illinois
278,Pine Bluff,Arkansas
279,Rochester,Minnesota
280,Anchorage,Alaska
281,Leslie County,Kentucky
282,Cape Horn,Washington
283,Elliott County,Kentucky
284,Sunrise,Florida
285,Pinellas Park,Florida
286,Iowa City,Iowa
287,Killeen,Texas
288,Davidson County,North Carolina
289,Erwin,North Carolina
290,Detroit (Redford Charter Township),Michigan
291,Richland Parish (county),Louisiana
292,Castlewood,Virginia
293,Dayton,Ohio
294,Charleston,West Virginia
295,Columbus County,North Carolina
296,Miami Township,Ohio
297,Baton Rouge,Louisiana
298,Prince George's County,Maryland
299,Fort Lee,New Jersey
300,Saint Petersburg,Florida
301,Huntington,California
302,San Jose,California
303,Nampa,Idaho
304,Davison,Michigan
305,Oxford,Mississippi
306,Montgomery County,Pennsylvania
307,Laurel,Maryland
308,Brownsville,Tennessee
309,Elyria,Ohio
310,Columbia,Missouri
311,Merritt Island,Florida
312,Crestview,Florida
313,Davie,Florida
314,Taylor,Texas
315,Austin,Texas
316,Rock Hill,South Carolina
317,Union Grove,Alabama
318,Durham,North Carolina
319,Mullins,South Carolina
320,Surprise,Arizona
321,Lancaster,Pennsylvania
322,Portland,Oregon
323,Thornton,Colorado
324,Worcester,Massachusetts
325,Columbia,South Carolina
326,National City,California
327,South Bend,Indiana
328,Hackensack,New Jersey
329,Auburn,Alabama
330,Conroe,Texas
331,Keansburg,New Jersey
332,Marietta,Georgia
333,Shenandoah,Texas
334,Cheyenne,Wyoming
335,Dover,Delaware
336,Salt Lake City,Utah
337,Knoxville,Tennessee
338,Hopkinsville,Kentucky
339,Amarillo,Texas
340,Vista,California
341,Chico,California
342,Galveston,Texas
343,El Paso,Texas
